Model,Accuracy,Macro Precision,Macro Recall,Macro-F1,CKD Precision,CKD Recall,CKD F1,NOTCKD Precision,NOTCKD Recall,NOTCKD F1
Random Forest,0.9949748743718593,0.99609375,0.9930555555555556,0.994542712189771,0.9921875,1.0,0.996078431372549,1.0,0.9861111111111112,0.993006993006993
SVM,0.9748743718592965,0.9675324675324675,0.9803149606299213,0.9731813158674969,1.0,0.9606299212598425,0.9799196787148594,0.935064935064935,1.0,0.9664429530201343
Decision Tree,0.9597989949748744,0.9542162162162162,0.9594816272965879,0.9567297238530115,0.976,0.9606299212598425,0.9682539682539683,0.9324324324324325,0.9583333333333334,0.9452054794520548
Naive Bayes,0.9547738693467337,0.9444444444444444,0.9645669291338583,0.9522208883553421,1.0,0.9291338582677166,0.963265306122449,0.8888888888888888,1.0,0.9411764705882353
KNN,0.9447236180904522,0.9337349397590362,0.9566929133858268,0.941882384176291,1.0,0.9133858267716536,0.9547325102880658,0.8674698795180723,1.0,0.9290322580645162
