Model,accuracy_mean,precision_mean,recall_mean,f1_mean,f1_std
Random Forest,0.9948717948717949,1.0,0.9857142857142858,0.9925925925925926,0.014814814814814836
SVM,0.975,0.9388725490196078,1.0,0.9672969966629589,0.03534814215499184
Decision Tree,0.9594871794871797,0.9336134453781513,0.9571428571428571,0.9446428571428571,0.053093102668994675
Naive Bayes,0.9548717948717949,0.8936928104575163,1.0,0.9422701149425288,0.041233619639301555
KNN,0.9448717948717948,0.8742483660130718,1.0,0.930603448275862,0.04952959455939043
